Strassenname 1882,Strassenname 2024
Alpeneckstrasse,Alpeneggstrasse
Breitenrainstr.,Breitenrainstrasse
Bremgartenstr.,Bremgartenstrasse
Brückfeldstr.,Brückfeldstrasse
Brunnmattstr.,Brunnmattstrasse
Bubenbergsrain,Bubenbergrain
Freiburgerstr.,Freiburgstrasse
Gerechtigkeitsg.,Gerechtigkeitsgasse
Gerbergasse,Gerberngasse
Gesellschaftsstr.,Gesellschaftsstrasse
Käfichgässchen,Käfiggässchen
Länggasse,Länggassstrasse
Laubeckstrasse,Laubeggstrasse
Marzielestrasse,Marzilistrasse
Mattenhofstr.,Mattenhofstrasse
Nydeckhof,Nydegghof
Ostermundigenstr.,Ostermundigenstrasse
Papiermühlestr.,Papiermühlestrasse
Rabbenthalstr.,Rabbentalstrasse
Reichenbachstr.,Reichenbachstrasse
Schützenmattstr.,Schützenmattstrasse
Schwarzthorstr.,Schwarztorstrasse
Sonnenbergstr.,Sonnenbergstrasse
Spitalackerstr.,Spitalackerstrasse
Weissensteinstr.,Weissensteinstrasse
