Branche,NOGA-Code
Banq.,641910
Baumwhndlg.,475100
Bchhdl.,476100
Buchhandlung,476100
Drogueriehdl.,477501
Eisenhandlung,475201
Ellenwaarenhandlung,475100
Hafnerm.,282100
Handlsm.,469000
Handschuh- u. Wollenwhdl.,477105
Kaffee- u. Küchliw.,561001
Kinderspielwhl.,476500
Kleidhdl.,477105
Manufakthdl.,475903
Manufakt.-Waaren und Schneiderei,475903
Marsch.-Tailleur,141303
Mineralwasserhdl.,472500
Musiklehrer.,855200
Negt.,477806
Rchtsgt.,691001
Seidenfbk.,132003
Spediteure,522900
Speditions-, Commissions- u. Wechselgeschäft,522900
Spezierer,477806
Steinh.,237000
Tuchneg.,475100
Typ. Strickwolle- u. selbstverf. Arbeitenverkauf,475100
Weinhdl.,472500
